annee,departement,age_min,age_max,population
2019,12,60,64,20159
2019,12,65,69,20074
2019,12,70,74,20180
2019,12,75,79,15083
2019,12,80,84,10505
2019,12,85,89,8761
2019,12,90,94,4799
2019,12,95,120,1473
2019,13,0,4,112524
2019,13,5,9,118276
2019,13,10,14,123637
2019,13,15,19,124647
2019,13,20,24,122892
2019,13,25,29,114942
2019,13,30,34,126580
2019,13,35,39,127154
2019,13,40,44,131887
2019,13,45,49,125114
2019,13,50,54,135082
2019,13,55,59,135059
2019,13,60,64,124887
2019,13,65,69,115507
2019,13,70,74,110322
2019,13,75,79,89032
2019,13,80,84,60763
2019,13,85,89,41779
2019,13,90,94,22037
2019,13,95,120,6997
2019,14,0,4,33420
2019,14,5,9,38630
2019,14,10,14,42403
2019,14,15,19,46149
2019,14,20,24,43528
2019,14,25,29,37233
2019,14,30,34,38401
2019,14,35,39,40361
2019,14,40,44,42423
2019,14,45,49,41391
2019,14,50,54,44450
2019,14,55,59,44499
2019,14,60,64,44183
2019,14,65,69,45176
2019,14,70,74,43439
2019,14,75,79,30743
2019,14,80,84,19347
2019,14,85,89,15026
2019,14,90,94,7663
2019,14,95,120,2130
2019,15,0,4,5518
2019,15,5,9,6764
2019,15,10,14,7391
2019,15,15,19,7451
2019,15,20,24,5995
2019,15,25,29,5512
2019,15,30,34,6631
2019,15,35,39,7408
2019,15,40,44,8110
2019,15,45,49,8626
2019,15,50,54,10009
2019,15,55,59,10655
2019,15,60,64,11034
2019,15,65,69,11237
2019,15,70,74,10815
2019,15,75,79,7964
2019,15,80,84,5119
2019,15,85,89,4369
2019,15,90,94,2263
2019,15,95,120,768
2019,16,0,4,14972
2019,16,5,9,17700
2019,16,10,14,20059
2019,16,15,19,19363
2019,16,20,24,17105
2019,16,25,29,16030
2019,16,30,34,17619
2019,16,35,39,18917
2019,16,40,44,20278
2019,16,45,49,20948
2019,16,50,54,23627
2019,16,55,59,25039
2019,16,60,64,25320
2019,16,65,69,25149
2019,16,70,74,23925
2019,16,75,79,17598
2019,16,80,84,11695
2019,16,85,89,9433
2019,16,90,94,4767
2019,16,95,120,1492
2019,17,0,4,25813
2019,17,5,9,31223
2019,17,10,14,36723
2019,17,15,19,36375
2019,17,20,24,31524
2019,17,25,29,26544
2019,17,30,34,30500
2019,17,35,39,34679
2019,17,40,44,38286
2019,17,45,49,39248
2019,17,50,54,45305
2019,17,55,59,45552
2019,17,60,64,47533
2019,17,65,69,51259
2019,17,70,74,51738
2019,17,75,79,39145
2019,17,80,84,24005
2019,17,85,89,18048
2019,17,90,94,9528
2019,17,95,120,2876
2019,18,0,4,13247
2019,18,5,9,14979
2019,18,10,14,16975
2019,18,15,19,16456
2019,18,20,24,13943
2019,18,25,29,13106
2019,18,30,34,15192
2019,18,35,39,16138
2019,18,40,44,16392
2019,18,45,49,16807
2019,18,50,54,20370
2019,18,55,59,20452
2019,18,60,64,21396
2019,18,65,69,21303
2019,18,70,74,20916
2019,18,75,79,15650
2019,18,80,84,10186
2019,18,85,89,8005
2019,18,90,94,4329
2019,18,95,120,1432
2019,19,0,4,9640
2019,19,5,9,11041
2019,19,10,14,12607
2019,19,15,19,12679
2019,19,20,24,11652
2019,19,25,29,9765
2019,19,30,34,11011
2019,19,35,39,12215
2019,19,40,44,13342
2019,19,45,49,14179
2019,19,50,54,16070
2019,19,55,59,16558
2019,19,60,64,17297
2019,19,65,69,17647
2019,19,70,74,17322
2019,19,75,79,13065
2019,19,80,84,8725
2019,19,85,89,7097
2019,19,90,94,3846
2019,19,95,120,1319
2019,2A,0,4,7830
2019,2A,5,9,8851
2019,2A,10,14,9317
